selector,variance_threshold,transform,scaler,reducer,top_k,fold,mse,rmse,mae,r2,n_features,explained_variance,elapsed_sec
xgb,0.0,none,none,none,300,3,0.01208330933112951,0.10992410714274421,0.08439986097049575,0.7281654652363174,300,1.0,7.163264000000709
xgb,0.0,none,none,none,300,4,0.011695891634861937,0.10814754567192886,0.08243477222815118,0.7209724158389195,300,1.0,7.243210700000418
xgb,0.0,none,none,none,300,5,0.020878772926723764,0.14449488892941426,0.08503422959764714,0.56027738414985,300,1.0,7.261048300000766
xgb,0.0,none,none,none,500,1,0.011178619776752035,0.1057289921296521,0.0775189881942358,0.7159865524718192,500,1.0,8.56023710000045
xgb,0.0,none,none,none,500,2,0.010544629165571131,0.1026870447796173,0.07907979669903861,0.764481208779233,500,1.0,8.75928759999988
xgb,0.0,none,none,none,500,3,0.012402431192317947,0.11136620309733984,0.0862689915893502,0.72098627778925,500,1.0,9.002022300001045
xgb,0.0,none,none,none,500,4,0.012282677140944892,0.11082724006734487,0.08731240073540472,0.7069735393706189,500,1.0,8.59407199999987
xgb,0.0,none,none,none,500,5,0.021160866635106503,0.1454677511859811,0.08631542953452646,0.5543362790954356,500,1.0,8.510387700000138
baseline,0.0,none,standard,pca90,0,1,0.017796250264390318,0.1334025871727768,0.10213840297817081,0.5478534477775798,116,0.900332498998203,5.262346900000921
baseline,0.0,none,standard,pca90,0,2,0.02180280313394176,0.14765772290653056,0.11033019650905648,0.513025089957994,116,0.9004351413589002,5.296577099999922
baseline,0.0,none,standard,pca90,0,3,0.02012436140679902,0.1418603588279651,0.11020460697389092,0.5472683624559619,114,0.9001626934165156,5.191237400000318
baseline,0.0,none,standard,pca90,0,4,0.02027007165283465,0.14237300183965587,0.11040287230973873,0.516419158056844,115,0.9007930117314927,5.291969300000346
baseline,0.0,none,standard,pca90,0,5,0.02816720348171441,0.16783087761706547,0.11559967899065829,0.4067775707110748,114,0.9005479102521794,5.184731399998782
baseline,0.0,none,standard,pca95,0,1,0.017839526467058393,0.13356469019564413,0.10279013468523827,0.5467539360524158,200,0.9502715599460361,5.629956599999787
baseline,0.0,none,standard,pca95,0,2,0.02120071325739465,0.14560464710095847,0.11287823002690889,0.5264730242289908,200,0.9502062850698529,5.763389499999903
