feature,operation,mean_importance,std_importance,selected_folds
raw__400X5,400,0.00029895225,,1
time__330__median_day,330,0.00029827628,0.0006669661,1
raw__311X112,311,0.00029431737,0.00023242833,3
raw__311X207,311,0.0002917097,0.00029916756,4
raw__340X59,340,0.0002868724,0.00040569887,1
raw__420X85,420,0.00028679872,6.925653e-05,2
raw__750X1006,750,0.00028633012,0.000230194,3
raw__344X150,344,0.00028046282,0.0001912314,4
raw__311X93,311,0.00027715397,0.00048009562,3
proc__340__q25_z,340,0.00027583656,0.000102305065,5
raw__311X200,311,0.0002754772,8.2292754e-05,4
raw__311X206,311,0.00027396664,8.676772e-05,2
raw__520X143,520,0.00027332554,0.0001255881,2
raw__420X30,420,0.00026841694,0.000112148104,4
raw__311X113,311,0.0002677168,0.00026883383,3
time__310__span_min,310,0.00026711627,8.686755e-05,5
raw__311X117,311,0.00026620476,0.00037938618,2
raw__210X154,210,0.00026129643,2.5447354e-05,3
proc__400__zero_rate,400,0.00026110056,0.00026808976,5
raw__330X189,330,0.00025993437,0.0001496486,3
raw__420X118,420,0.00025949712,0.00022516875,3
raw__330X343,330,0.00025246706,,1
time__310__end_day,310,0.0002507715,0.0003261944,3
time__400__end_day,400,0.00025066052,0.00040124342,2
raw__311X209,311,0.00024730866,0.0003401248,2
proc__400__outlier_rate,400,0.00024606712,0.0003241731,3
proc__520__min_z,520,0.00024593988,0.0001749419,5
raw__520X112,520,0.00024569395,0.00024758987,3
raw__311X169,311,0.00024432395,0.00030475267,2
raw__311X63,311,0.00024178629,0.00013569047,5
raw__311X133,311,0.0002359261,0.00035258188,2
raw__420X66,420,0.00023456947,0.0002939848,3
raw__311X147,311,0.00023380613,0.00019723586,4
raw__210X47,210,0.00023377003,,1
raw__750X611,750,0.00023251677,9.380055e-05,2
proc__330__range_z,330,0.00023123265,0.00014483756,5
raw__360X1245,360,0.00023060406,0.00012988145,2
proc__310__max_z,310,0.00022986108,0.00010276102,5
raw__330X1191,330,0.00022961442,,1
raw__420X88,420,0.00022656347,0.00032040913,1
raw__311X111,311,0.00022563867,7.8101104e-05,3
raw__311X203,311,0.00022505168,0.000121324134,5
raw__210X125,210,0.00022455986,,1
proc__360__max_z,360,0.00021986707,0.00015354392,5
raw__311X128,311,0.00021778943,0.00018077865,4
proc__440A__q25_z,440A,0.0002157909,0.00012857356,5
time__210__span_min,210,0.00021521069,0.00010113468,5
raw__210X58,210,0.00021473813,9.969747e-05,4
time__520__end_day,520,0.00021434901,0.0003816731,3
proc__220__median_z,220,0.00021412608,0.0001498173,4
raw__210X139,210,0.00021261252,0.00036825569,1
time__311__valid_rate,311,0.00021217836,0.0001575115,5
proc__340__min_z,340,0.0002115432,8.359954e-05,5
raw__420X87,420,0.0002112627,,1
proc__312__max_z,312,0.00020897665,0.00018750974,5
raw__750X230,750,0.00020574321,,1
raw__311X136,311,0.00020566754,0.0001524173,4
raw__330X425,330,0.0002049971,,1
proc__340__std_z,340,0.00020458666,8.094429e-05,5
raw__420X68,420,0.0002039461,0.0003079939,3
raw__311X30,311,0.00020258439,0.00019094627,3
raw__210X192,210,0.00020114615,,1
proc__220__q25_z,220,0.00019888631,5.064325e-05,5
raw__420X74,420,0.00019862692,,1
raw__420X94,420,0.00019720354,0.00015440905,3
proc__750__q25_z,750,0.00019418678,7.5316624e-05,5
time__360__median_day,360,0.00018830679,0.00042106677,1
raw__330X950,330,0.0001874342,,1
raw__520X102,520,0.00018451552,,1
route__330_to_360__gap_hours,330_to_360,0.00018445574,0.0002587391,3
raw__330X157,330,0.00017929985,,1
raw__750X1190,750,0.00017774822,0.0003974571,1
raw__360X1305,360,0.0001774244,,1
raw__311X204,311,0.00017680039,0.00014177286,5
raw__330X1034,330,0.00017435287,,1
raw__344X112,344,0.00017409447,0.00015389366,4
proc__310__zero_rate,310,0.00017267751,0.00038611866,1
time__400__valid_rate,400,0.00017232847,0.0001363798,5
proc__310__outlier_rate,310,0.00017124056,0.00014951824,4
raw__520X43,520,0.00017037752,,1
raw__330X403,330,0.00016913234,,1
raw__520X167,520,0.00016703614,,1
raw__210X74,210,0.00016597974,0.0003265532,2
time__360__start_day,360,0.00016568266,0.00023483564,3
cat__Chamber_1.0,META,0.0001621043,0.00020893176,3
