model,params,fold,mse,rmse,mae,r2,n_features,time_sec,config_id
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",5,0.02637256246040362,0.16239631295199908,0.10266399338908236,0.44457405650898774,499,5.5627390000008745,20
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",1,0.01454015166680018,0.1205825512534885,0.09479015048434336,0.6305806365237692,493,5.427442799998971,21
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",2,0.012792826374235011,0.11310537730026372,0.0906090758497916,0.7142667649428156,499,5.50082239999756,21
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",3,0.015837132766840588,0.12584567043343442,0.09792704864297047,0.6437168411658665,499,5.337819199998194,21
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",4,0.014317102898973921,0.11965409687500851,0.09236697631981106,0.6584384706353812,499,5.158065499999793,21
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",5,0.026378326735831716,0.1624140595386733,0.10384101442672959,0.44445265654556,499,5.1290171000000555,21
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",1,0.014650564903887723,0.12103951794305744,0.095313371555988,0.6277753846461451,493,5.288260799999989,22
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",2,0.012823520683320846,0.11324098499801583,0.09078318428096777,0.7135811944538262,499,5.708221000000776,22
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",3,0.015929221836428163,0.12621102105770385,0.09906579584093217,0.6416451413771613,499,5.558843400001933,22
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",4,0.014307331503712712,0.11961325805993545,0.09251580271163624,0.6586715857238873,499,5.282724400000006,22
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",5,0.026408575056028893,0.1625071538610805,0.10415861865354717,0.4438156042375121,499,5.312909300002502,22
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",1,0.014528671244200233,0.12053493785703892,0.09517910680908934,0.6308723178285105,493,5.330020400000649,23
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",2,0.012768089276949678,0.11299597018013376,0.09001743576323776,0.7148192785646292,499,5.7714851000018825,23
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",3,0.015336498427886178,0.12384061703611694,0.0962424377747228,0.6549794596164092,499,5.388205300001573,23
RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",4,0.014183247884841942,0.11909344182129401,0.09265551209087182,0.6616318348000907,499,5.1369397999988,23
